#,#,id,address,microdistrict_id,photo_url,marker,created_at,updated_at,is_deleted,category_id,district_id,sub_category_id,name_kz,name_ru,address_building_id,full_address
38,4320,650316,"пр.Рыскулова, 58",,,POINT (76.93042 43.290633),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,5,32,Футбольное поле,Футбольное поле,168009,"пр.Рыскулова, 58"
39,4379,652067,"ул.Станкевича, 29",,,POINT (76.952475 43.329043),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Площадка для воркаута,Площадка для воркаута,167752,"ул.Станкевича, 29"
40,4486,650933,"ул.Жарокова, 230",,,POINT (76.903382 43.216048),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Спортивная площадка,Спортивная площадка,168626,"ул.Жарокова, 230"
41,4499,651031,"ул.Айманова, 193 Г",,,POINT (76.897673 43.225942),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Спортивная площадка,Спортивная площадка,166610,"ул.Айманова, 193 Г"
42,4539,649982,"мкр.Мамыр-1, 29/1",122,,POINT (76.842694 43.212796),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,3,32,Футбольное поле,Футбольное поле,337667,"мкр.Мамыр-1, 29/1"
43,4582,651155,"ул.Достоевского, 8/2",,,POINT (76.940721 43.2946),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Спортивная площадка,Спортивная площадка,166077,"ул.Достоевского, 8/2"
44,4583,652111,"ул.Достоевского, 8/2",,,POINT (76.940721 43.2946),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Площадка для воркаута,Площадка для воркаута,166077,"ул.Достоевского, 8/2"
45,4610,649587,"пр.Достык, 113",,,POINT (76.961371 43.221964),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Баскетбольная площадка,Баскетбольная площадка,166932,"пр.Достык, 113"
46,4762,651697,"мкр.6, 37",15,,POINT (76.85789 43.217816),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,3,32,Площадка для воркаута,Площадка для воркаута,258021,"мкр.6, 37"
47,4769,651149,"мкр.Алтай-1, 22",49,,POINT (76.986636 43.345992),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Спортивная площадка,Спортивная площадка,257028,"мкр.Алтай-1, 22"
48,4835,651710,"мкр.9, 2",18,,POINT (76.861877 43.210799),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,3,32,Площадка для воркаута,Площадка для воркаута,256984,"мкр.9, 2"
49,4843,651313,"ул.Тобольская, 1",,,POINT (76.967031 43.257849),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Delight pool Dayclub,Delight pool Dayclub,170963,"ул.Тобольская, 1"
50,4854,651712,"мкр.6, 32",15,,POINT (76.855701 43.217069),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,3,32,Площадка для воркаута,Площадка для воркаута,256238,"мкр.6, 32"
51,4874,650823,"мкр.Атырау, 11",58,,POINT (76.991674 43.294789),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Спортивная площадка,Спортивная площадка,256640,"мкр.Атырау, 11"
52,4914,651179,"ул.Сарыарка, 1",91,,POINT (76.976837 43.295862),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Спортивная площадка,Спортивная площадка,263209,"ул.Сарыарка, 1"
53,4917,650383,"ул.Сарыарка, 1 корпус 3",91,,POINT (76.976721 43.295957),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Футбольное поле,Футбольное поле,262763,"ул.Сарыарка, 1 корпус 3"
54,4977,652076,"ул.Сауранбаева, 21/2",,,POINT (76.946345 43.331994),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Площадка для воркаута,Площадка для воркаута,167229,"ул.Сауранбаева, 21/2"
55,5025,649592,"ул.Кунаева, 15",,,POINT (76.947537 43.268337),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Баскетбольная площадка,Баскетбольная площадка,166361,"ул.Кунаева, 15"
56,5033,651098,"пр.Суюнбая, 47",,,POINT (76.948607 43.279521),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,5,32,Спортивная площадка,Спортивная площадка,255662,"пр.Суюнбая, 47"
57,5035,650397,"ул.Молдавская, 15",,,POINT (76.966212 43.299232),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Футбольное поле,Футбольное поле,197823,"ул.Молдавская, 15"
58,5187,651034,"ул.Радостовца, 152 К",,,POINT (76.894964 43.226249),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Спортивная площадка,Спортивная площадка,167457,"ул.Радостовца, 152 К"
59,5194,650951,"пр.Гагарина, 277/7",,,POINT (76.897811 43.207233),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Спортивная площадка,Спортивная площадка,255877,"пр.Гагарина, 277/7"
60,5217,649643,"пр.Гагарина, 161 А",,,POINT (76.895847 43.221135),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Баскетбольная площадка,Баскетбольная площадка,186012,"пр.Гагарина, 161 А"
61,5231,650105,"ул.Розыбакиева, 133",,,POINT (76.89147 43.223755),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Футбольное поле,Футбольное поле,185492,"ул.Розыбакиева, 133"
62,5276,651506,"пр.Сейфуллина, 452/1",,,POINT (76.933378 43.259654),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,2,32,Площадка для воркаута,Площадка для воркаута,165949,"пр.Сейфуллина, 452/1"
63,5293,650061,"пр.Жибек жолы, 19",,,POINT (76.961829 43.26369),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Футбольное поле,Футбольное поле,255627,"пр.Жибек жолы, 19"
64,5306,651328,"ул.Абиша Кекилбайулы, 129 А",,,POINT (76.887438 43.207671),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,РКГИОВ,РКГИОВ,338581,"ул.Абиша Кекилбайулы, 129 А"
65,5356,651718,"мкр.3, 21",12,,POINT (76.851271 43.221666),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,3,32,Площадка для воркаута,Площадка для воркаута,338003,"мкр.3, 21"
66,5375,650765,"ул.Луганского, 5",,,POINT (76.959982 43.24025),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Спортивная площадка,Спортивная площадка,167863,"ул.Луганского, 5"
67,5498,650230,"ул.Жаксылыка Ушкемпирова, 38 корпус 2",77,,POINT (76.930715 43.200971),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Футбольное поле,Футбольное поле,277650,"ул.Жаксылыка Ушкемпирова, 38 корпус 2"
68,5501,651708,"мкр.9, 4",18,,POINT (76.861546 43.211528),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,3,32,Площадка для воркаута,Площадка для воркаута,258020,"мкр.9, 4"
